phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
platelet_count	17	7726666	7726693	17_7142585_7918367	AG	{10.0: 274.64, 11.0: 1603.91, 12.0: 0.16, 13.0: 94.66, 14.0: 24291.42, 15.0: 277026.27, 16.0: 366011.4, 17.0: 1905.06, 18.0: 0.0, 19.0: 0.0}	7.3e-13	-	confidently	0.982281550551962	0.99221	0.942553217916184	1.0	0.991954	0.995604	1.0	0.99221	0.0	0.92532	1.0	0.537, 0.0266, 0.207, 0.17, 0.0127	NA, -, NA, NA, -	{10.0: 285.49, 11.0: 2.04, 12.0: 3.64, 13.0: 1.64, 14.0: 6110.12, 15.0: 4325.2, 16.0: 2648.35, 17.0: 197.59, 18.0: 0.0, 19.0: 0.0}	{10.0: 3.29, 11.0: 6.73, 12.0: 0.15, 13.0: 32.65, 14.0: 3350.64, 15.0: 5003.19, 16.0: 5167.9, 17.0: 11.69, 18.0: 0.0, 19.0: 0.0}	{10.0: 0.17, 11.0: 0.05, 12.0: 0.08, 13.0: 41.26, 14.0: 562.4, 15.0: 1172.65, 16.0: 1042.73, 17.0: 0.67, 18.0: 0.0, 19.0: 0.0}	{10.0: 6.44, 11.0: 45.14, 12.0: 0.0, 13.0: 3.56, 14.0: 705.47, 15.0: 9350.8, 16.0: 12276.37, 17.0: 59.37, 18.0: 0.0, 19.0: 0.0}	{10.0: 43.78, 11.0: 67.65, 12.0: 0.0, 13.0: 7.46, 14.0: 1802.22, 15.0: 11380.47, 16.0: 16282.22, 17.0: 111.76, 18.0: 0.0, 19.0: 0.0}
platelet_crit	17	7726666	7726693	17_7250657_7905709	AG	{10.0: 274.29, 11.0: 1608.02, 12.0: 0.18, 13.0: 95.93, 14.0: 24227.05, 15.0: 276837.25, 16.0: 365977.63, 17.0: 1899.27, 18.0: 0.0, 19.0: 0.0}	1.14e-15	-	doubly	0.960825230201989	0.834782	0.0	0.840978	0.841009	0.931018	0.900154	0.834782	0.0	0.536575	0.979753	0.474, 0.00988, 0.0831, 0.0968, 0.0121	NA, -, NA, NA, -	{10.0: 285.94, 11.0: 1.77, 12.0: 3.59, 13.0: 1.64, 14.0: 6102.07, 15.0: 4342.77, 16.0: 2642.44, 17.0: 193.85, 18.0: 0.0, 19.0: 0.0}	{10.0: 3.25, 11.0: 6.76, 12.0: 0.15, 13.0: 32.41, 14.0: 3351.93, 15.0: 4995.73, 16.0: 5174.43, 17.0: 11.57, 18.0: 0.0, 19.0: 0.0}	{10.0: 0.17, 11.0: 0.05, 12.0: 0.08, 13.0: 41.39, 14.0: 563.99, 15.0: 1170.6, 16.0: 1043.01, 17.0: 0.72, 18.0: 0.0, 19.0: 0.0}	{10.0: 6.39, 11.0: 45.25, 12.0: 0.0, 13.0: 3.42, 14.0: 707.19, 15.0: 9343.39, 16.0: 12282.89, 17.0: 58.61, 18.0: 0.0, 19.0: 0.0}	{10.0: 43.86, 11.0: 67.63, 12.0: 0.0, 13.0: 7.45, 14.0: 1800.56, 15.0: 11381.67, 16.0: 16282.97, 17.0: 111.42, 18.0: 0.0, 19.0: 0.0}
platelet_crit	17	10180929	10180954	17_10054309_10308862	A	{15.0: 12.19, 22.0: 166993.12, 23.0: 129.27, 25.0: 102785.23, 26.0: 236189.34, 27.0: 125522.55, 28.0: 33240.33, 29.0: 6050.35}	5.19e-13	+	confidently	0.857915152889749	0.952139	0.95836349666313	0.985607	0.915082	0.975076	0.993017	0.952139	0.200750160287784	0.781401	0.996672	0.922, 0.844, 0.793, 0.15, 0.0647	NA, NA, NA, NA, NA	{15.0: 0.08, 22.0: 4786.36, 23.0: 100.17, 25.0: 310.19, 26.0: 2077.15, 27.0: 4935.57, 28.0: 1343.46, 29.0: 21.93}	{15.0: 1.7, 22.0: 2640.67, 23.0: 3.1, 25.0: 1512.66, 26.0: 5332.17, 27.0: 3425.65, 28.0: 496.18, 29.0: 164.78}	{15.0: 0.19, 22.0: 670.32, 23.0: 0.34, 25.0: 137.55, 26.0: 1405.41, 27.0: 561.92, 28.0: 35.5, 29.0: 8.9}	{15.0: 0.14, 22.0: 5614.98, 23.0: 3.47, 25.0: 3532.2, 26.0: 7896.32, 27.0: 4141.3, 28.0: 1079.86, 29.0: 179.07}	{15.0: 1.63, 22.0: 7765.7, 23.0: 6.76, 25.0: 4357.27, 26.0: 10354.99, 27.0: 5332.99, 28.0: 1528.83, 29.0: 347.47}
platelet_distribution_width	17	10180929	10180954	17_10039924_10309037	A	{15.0: 12.62, 22.0: 166919.09, 23.0: 129.45, 25.0: 102643.14, 26.0: 236483.18, 27.0: 125386.45, 28.0: 33312.66, 29.0: 6033.69}	3.49e-23	-	not	0.0	0.0										0.0383, 0.0301, 0.58, 0.0000155, 0.475	-, -, NA, -, NA	{15.0: 0.08, 22.0: 4787.33, 23.0: 100.6, 25.0: 311.83, 26.0: 2074.63, 27.0: 4940.55, 28.0: 1337.64, 29.0: 22.26}	{15.0: 1.7, 22.0: 2638.5, 23.0: 3.27, 25.0: 1521.17, 26.0: 5332.16, 27.0: 3417.5, 28.0: 497.58, 29.0: 165.04}	{15.0: 0.19, 22.0: 671.21, 23.0: 0.36, 25.0: 139.93, 26.0: 1402.74, 27.0: 561.39, 28.0: 35.47, 29.0: 8.84}	{15.0: 0.14, 22.0: 5632.12, 23.0: 3.46, 25.0: 3539.69, 26.0: 7883.45, 27.0: 4129.21, 28.0: 1078.85, 29.0: 180.36}	{15.0: 1.63, 22.0: 7767.96, 23.0: 6.84, 25.0: 4355.15, 26.0: 10361.1, 27.0: 5326.85, 28.0: 1528.61, 29.0: 347.5}
mean_platelet_volume	17	27842016	27842040	17_25885931_29975306	A	{9.0: 0.0, 21.0: 24.23, 22.0: 323690.39, 23.0: 568.18, 24.0: 209473.84, 25.0: 134134.03, 26.0: 3272.87}	0.0	+	confidently	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0509, 1.44e-17, 0.0201, 7.03e-30, 8.68e-45	NA, +, +, +, +	{9.0: 0.0, 21.0: 600.99, 22.0: 2045.7, 23.0: 0.35, 24.0: 2801.27, 25.0: 8060.6, 26.0: 65.1}	{9.0: 0.0, 21.0: 0.25, 22.0: 4982.88, 23.0: 7.23, 24.0: 4830.33, 25.0: 3701.15, 26.0: 54.22}	{9.0: 0.0, 21.0: 0.02, 22.0: 75.6, 23.0: 0.0, 24.0: 858.12, 25.0: 1786.37, 26.0: 99.89}	{9.0: 0.0, 21.0: 2.61, 22.0: 11433.49, 23.0: 15.75, 24.0: 6450.82, 25.0: 4427.14, 26.0: 116.28}	{9.0: 0.0, 21.0: 6.23, 22.0: 14177.76, 23.0: 22.34, 24.0: 9202.15, 25.0: 6152.11, 26.0: 133.55}
platelet_count	17	27842016	27842040	17_26756730_29860829	A	{9.0: 0.0, 21.0: 24.14, 22.0: 323645.38, 23.0: 560.41, 24.0: 209756.46, 25.0: 133924.35, 26.0: 3260.74}	2.26e-181	-	doubly	0.999999753314125	1.0	0.999997369803325	1.0	1.0	0.0	1.0	1.0	0.9999990132219	1.0	0.0796992	0.268, 7.77e-6, 0.813, 1.44e-10, 4.95e-10	NA, -, NA, -, -	{9.0: 0.0, 21.0: 605.04, 22.0: 2053.62, 23.0: 0.35, 24.0: 2785.54, 25.0: 8063.09, 26.0: 66.37}	{9.0: 0.0, 21.0: 0.26, 22.0: 4988.71, 23.0: 8.79, 24.0: 4840.28, 25.0: 3682.79, 26.0: 55.23}	{9.0: 0.0, 21.0: 0.02, 22.0: 74.6, 23.0: 0.0, 24.0: 857.51, 25.0: 1787.07, 26.0: 100.8}	{9.0: 0.0, 21.0: 2.58, 22.0: 11424.62, 23.0: 14.52, 24.0: 6455.94, 25.0: 4435.35, 26.0: 113.08}	{9.0: 0.0, 21.0: 6.23, 22.0: 14179.76, 23.0: 22.33, 24.0: 9196.64, 25.0: 6156.4, 26.0: 132.78}
red_blood_cell_distribution_width	17	27842016	27842040	17_26226978_28117131	A	{9.0: 0.0, 21.0: 23.3, 22.0: 323601.84, 23.0: 564.56, 24.0: 209629.32, 25.0: 134103.38, 26.0: 3249.14}	4.36e-12	+	not	0.0	0.0										0.109, 0.195, 0.952, 0.128, 0.0913	NA, NA, NA, NA, NA	{9.0: 0.0, 21.0: 600.39, 22.0: 2045.39, 23.0: 0.22, 24.0: 2799.51, 25.0: 8064.25, 26.0: 64.25}	{9.0: 0.0, 21.0: 0.25, 22.0: 4983.56, 23.0: 8.78, 24.0: 4843.98, 25.0: 3685.72, 26.0: 53.77}	{9.0: 0.0, 21.0: 0.02, 22.0: 75.6, 23.0: 0.0, 24.0: 858.14, 25.0: 1784.88, 26.0: 101.36}	{9.0: 0.0, 21.0: 2.61, 22.0: 11451.58, 23.0: 15.33, 24.0: 6423.72, 25.0: 4440.12, 26.0: 112.73}	{9.0: 0.0, 21.0: 6.23, 22.0: 14174.77, 23.0: 22.34, 24.0: 9206.54, 25.0: 6151.75, 26.0: 132.51}
red_blood_cell_distribution_width	17	30469471	30469520	17_30287357_30595028	CCG	{2.67: 278.78, 3.67: 73.59, 5.67: 0.0, 6.67: 75.42, 7.67: 152.33, 8.67: 37214.11, 9.67: 11539.87, 10.67: 21455.26, 11.67: 119015.02, 12.67: 16672.57, 13.67: 37344.87, 14.67: 64194.36, 15.67: 108593.61, 16.67: 162308.79, 17.67: 32436.99, 18.67: 20322.77, 19.67: 11456.95, 20.67: 6709.26, 21.67: 1421.99, 22.67: 1787.76, 23.67: 6792.7, 24.67: 1675.46, 25.67: 4723.22, 26.67: 311.66, 27.67: 0.0, 29.67: 4688.36}	6.57e-13	+	confidently	0.999277185098406	1.0	0.999266888931489	1.0	1.0	1.0	1.0	1.0	0.99732639654758	0.930436	1.0	0.834, 0.992, 0.0989, 0.527, 0.0235	NA, NA, NA, NA, +	{2.67: 3.3, 3.67: 0.51, 5.67: 0.0, 6.67: 1219.14, 7.67: 190.61, 8.67: 258.81, 9.67: 3186.36, 10.67: 150.83, 11.67: 2746.13, 12.67: 196.86, 13.67: 399.49, 14.67: 1342.98, 15.67: 2696.71, 16.67: 668.43, 17.67: 193.69, 18.67: 70.14, 19.67: 19.32, 20.67: 140.37, 21.67: 41.7, 22.67: 4.48, 23.67: 21.07, 24.67: 3.69, 25.67: 13.2, 26.67: 0.51, 27.67: 0.0, 29.67: 8.24}	{2.67: 0.79, 3.67: 2.73, 5.67: 0.0, 6.67: 2.61, 7.67: 26.0, 8.67: 1320.01, 9.67: 226.45, 10.67: 283.8, 11.67: 3376.59, 12.67: 732.13, 13.67: 757.93, 14.67: 1183.14, 15.67: 2592.62, 16.67: 1722.28, 17.67: 417.01, 18.67: 378.16, 19.67: 107.78, 20.67: 95.22, 21.67: 22.09, 22.67: 101.51, 23.67: 83.11, 24.67: 2.74, 25.67: 108.2, 26.67: 2.39, 27.67: 0.0, 29.67: 33.65}	{2.67: 0.06, 3.67: 0.08, 5.67: 0.0, 6.67: 0.28, 7.67: 0.32, 8.67: 380.88, 9.67: 44.28, 10.67: 5.38, 11.67: 432.83, 12.67: 26.15, 13.67: 34.11, 14.67: 68.05, 15.67: 1054.95, 16.67: 571.22, 17.67: 26.84, 18.67: 115.09, 19.67: 11.66, 20.67: 36.34, 21.67: 6.14, 22.67: 0.09, 23.67: 4.55, 24.67: 0.43, 25.67: 0.54, 26.67: 0.0, 27.67: 0.0, 29.67: 0.17}	{2.67: 5.94, 3.67: 1.32, 5.67: 0.0, 6.67: 4.41, 7.67: 5.45, 8.67: 1497.05, 9.67: 490.71, 10.67: 661.57, 11.67: 3955.13, 12.67: 607.02, 13.67: 1342.67, 14.67: 1801.78, 15.67: 3489.28, 16.67: 5555.08, 17.67: 989.32, 18.67: 723.78, 19.67: 396.4, 20.67: 195.53, 21.67: 43.73, 22.67: 50.7, 23.67: 284.4, 24.67: 67.12, 25.67: 148.06, 26.67: 7.77, 27.67: 0.0, 29.67: 124.3}	{2.67: 39.16, 3.67: 7.21, 5.67: 0.0, 6.67: 15.07, 7.67: 14.8, 8.67: 1937.6, 9.67: 701.16, 10.67: 791.92, 11.67: 5194.69, 12.67: 661.68, 13.67: 1724.42, 14.67: 2859.35, 15.67: 5144.71, 16.67: 6493.46, 17.67: 1316.55, 18.67: 992.5, 19.67: 532.79, 20.67: 287.11, 21.67: 92.98, 22.67: 94.94, 23.67: 321.35, 24.67: 56.99, 25.67: 252.31, 26.67: 6.12, 27.67: 0.0, 29.67: 159.22}
mean_platelet_volume	17	33871548	33871564	17_33698391_34458145	A	{16.0: 14783.6, 17.0: 460295.98, 18.0: 126609.18, 19.0: 32851.61, 20.0: 10881.54, 21.0: 25734.82, 22.0: 6.31}	4.3e-62	-	confidently	0.999999999981857	1.0	0.999999999996727	1.0	1.0	1.0	1.0	1.0	0.99999999999767	1.0	1.0	0.299, 0.000193, 0.221, 0.00174, 3.92e-6	NA, -, NA, -, -	{16.0: 225.35, 17.0: 5602.29, 18.0: 3484.26, 19.0: 3062.97, 20.0: 528.09, 21.0: 630.95, 22.0: 40.31}	{16.0: 673.2, 17.0: 7671.18, 18.0: 3607.31, 19.0: 575.24, 20.0: 53.18, 21.0: 995.94, 22.0: 0.05}	{16.0: 586.83, 17.0: 1712.22, 18.0: 451.9, 19.0: 33.32, 20.0: 1.35, 21.0: 34.38, 22.0: 0.0}	{16.0: 464.93, 17.0: 16040.03, 18.0: 3723.14, 19.0: 954.69, 20.0: 371.75, 21.0: 891.48, 22.0: 0.01}	{16.0: 658.13, 17.0: 19484.8, 18.0: 6141.1, 19.0: 1744.59, 20.0: 542.14, 21.0: 1121.15, 22.0: 2.15}
platelet_count	17	33871548	33871564	17_33697919_34458145	A	{16.0: 14791.21, 17.0: 460058.47, 18.0: 126782.14, 19.0: 32892.96, 20.0: 10875.02, 21.0: 25764.91, 22.0: 6.39}	6.98e-54	+	singly	0.999999974269037	0.187201	0.999999967023197	0.122993	0.244396	0.491979	0.0	0.19404	0.999999920269051	0.0323166	1.0	0.311, 2.9e-6, 0.831, 0.0113, 0.000522	NA, +, NA, +, +	{16.0: 228.21, 17.0: 5598.93, 18.0: 3489.75, 19.0: 3066.24, 20.0: 523.65, 21.0: 628.12, 22.0: 39.33}	{16.0: 672.44, 17.0: 7645.38, 18.0: 3618.5, 19.0: 580.5, 20.0: 52.56, 21.0: 1006.67, 22.0: 0.05}	{16.0: 587.71, 17.0: 1715.36, 18.0: 447.89, 19.0: 33.31, 20.0: 1.35, 21.0: 34.38, 22.0: 0.0}	{16.0: 462.24, 17.0: 16053.01, 18.0: 3722.18, 19.0: 951.44, 20.0: 364.8, 21.0: 892.35, 22.0: 0.01}	{16.0: 659.68, 17.0: 19486.1, 18.0: 6138.21, 19.0: 1742.58, 20.0: 541.14, 21.0: 1124.2, 22.0: 2.15}
platelet_crit	17	33871548	33871564	17_33728534_34192892	A	{16.0: 14786.24, 17.0: 459928.17, 18.0: 126716.29, 19.0: 32834.69, 20.0: 10890.03, 21.0: 25721.27, 22.0: 6.37}	4.78e-18	+	not	0.0	0.0526463										0.667, 0.000387, 0.331, 0.395, 0.176	NA, +, NA, NA, NA	{16.0: 229.99, 17.0: 5593.65, 18.0: 3478.52, 19.0: 3067.4, 20.0: 531.76, 21.0: 633.66, 22.0: 39.24}	{16.0: 669.98, 17.0: 7670.28, 18.0: 3615.4, 19.0: 579.51, 20.0: 51.72, 21.0: 989.16, 22.0: 0.05}	{16.0: 588.55, 17.0: 1716.39, 18.0: 446.43, 19.0: 32.9, 20.0: 1.35, 21.0: 34.38, 22.0: 0.0}	{16.0: 466.37, 17.0: 16038.63, 18.0: 3725.3, 19.0: 953.6, 20.0: 368.51, 21.0: 893.61, 22.0: 0.01}	{16.0: 660.05, 17.0: 19486.74, 18.0: 6141.02, 19.0: 1742.01, 20.0: 538.97, 21.0: 1123.12, 22.0: 2.15}
platelet_distribution_width	17	33871548	33871564	17_33104005_34589040	A	{16.0: 14802.13, 17.0: 460016.92, 18.0: 126610.16, 19.0: 32856.42, 20.0: 10847.8, 21.0: 25741.55, 22.0: 6.1}	1.18e-249	-	confidently	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.131, 1.57e-8, 0.763, 5.44e-9, 7.19e-11	NA, -, NA, -, -	{16.0: 230.65, 17.0: 5598.15, 18.0: 3478.07, 19.0: 3062.41, 20.0: 531.14, 21.0: 633.39, 22.0: 40.4}	{16.0: 677.11, 17.0: 7662.05, 18.0: 3621.15, 19.0: 574.27, 20.0: 52.53, 21.0: 988.94, 22.0: 0.05}	{16.0: 589.54, 17.0: 1713.4, 18.0: 448.1, 19.0: 33.23, 20.0: 1.35, 21.0: 34.38, 22.0: 0.0}	{16.0: 469.34, 17.0: 16020.63, 18.0: 3726.59, 19.0: 958.78, 20.0: 368.5, 21.0: 902.18, 22.0: 0.01}	{16.0: 657.0, 17.0: 19487.76, 18.0: 6134.16, 19.0: 1748.69, 20.0: 539.15, 21.0: 1125.15, 22.0: 2.15}
red_blood_cell_distribution_width	17	33871548	33871564	17_33699531_34192892	A	{16.0: 14797.49, 17.0: 460199.94, 18.0: 126676.14, 19.0: 32893.02, 20.0: 10858.68, 21.0: 25739.72, 22.0: 6.05}	5.28e-26	-	singly	0.995610822930769	0.0	0.0	0.0	0.351974	0.0	0.0	0.0	0.967654359484311	0.0	0.0	0.649, 0.628, 0.559, 0.00694, 0.00785	NA, NA, NA, -, -	{16.0: 229.24, 17.0: 5594.88, 18.0: 3488.58, 19.0: 3064.91, 20.0: 532.41, 21.0: 624.8, 22.0: 39.42}	{16.0: 677.27, 17.0: 7656.5, 18.0: 3613.54, 19.0: 575.12, 20.0: 53.83, 21.0: 999.79, 22.0: 0.05}	{16.0: 587.0, 17.0: 1714.06, 18.0: 450.27, 19.0: 32.91, 20.0: 1.38, 21.0: 34.38, 22.0: 0.0}	{16.0: 465.0, 17.0: 16022.1, 18.0: 3732.25, 19.0: 952.08, 20.0: 372.15, 21.0: 902.44, 22.0: 0.01}	{16.0: 658.93, 17.0: 19480.4, 18.0: 6146.06, 19.0: 1744.42, 20.0: 537.99, 21.0: 1124.11, 22.0: 2.15}
albumin	17	44084292	44084364	17_42742429_44990603	AAAAT	{11.6: 140646.68, 12.6: 4387.04, 12.8: 65.74, 13.6: 114255.78, 13.8: 0.0, 14.6: 354060.32, 15.6: 913.16, 17.6: 1.64}	9.29e-14	+	not	0.0	0.0										0.312, 0.991, 0.0314, 0.00306, 0.0184	NA, NA, +, +, +	{11.6: 280.03, 12.6: 710.88, 12.8: 226.51, 13.6: 2306.01, 13.8: 0.0, 14.6: 8435.51, 15.6: 485.55, 17.6: 74.44}	{11.6: 1020.69, 12.6: 76.06, 12.8: 1.24, 13.6: 1887.92, 13.8: 0.0, 14.6: 9297.59, 15.6: 10.41, 17.6: 0.13}	{11.6: 13.07, 12.6: 3.82, 12.8: 0.49, 13.6: 698.91, 13.8: 0.0, 14.6: 1771.81, 15.6: 41.89, 17.6: 0.01}	{11.6: 4272.61, 12.6: 146.52, 12.8: 1.16, 13.6: 4019.15, 13.8: 0.0, 14.6: 11863.52, 15.6: 27.02, 17.6: 0.02}	{11.6: 5762.9, 12.6: 210.96, 12.8: 5.58, 13.6: 4428.5, 13.8: 0.0, 14.6: 16318.42, 15.6: 55.6, 17.6: 0.06}
alkaline_phosphatase	17	44084292	44084364	17_43335181_45029049	AAAAT	{11.6: 151056.71, 12.6: 4756.44, 12.8: 70.54, 13.6: 123168.25, 13.8: 0.0, 14.6: 381351.27, 15.6: 999.6, 17.6: 1.58}	1.22e-17	+	not	0.0	0.00774826										0.395, 0.021, 0.507, 0.00217, 0.0471	NA, +, NA, +, +	{11.6: 298.77, 12.6: 770.93, 12.8: 237.26, 13.6: 2462.13, 13.8: 0.0, 14.6: 9095.14, 15.6: 527.07, 17.6: 77.7}	{11.6: 1109.71, 12.6: 82.8, 12.8: 1.35, 13.6: 2030.42, 13.8: 0.0, 14.6: 10204.92, 15.6: 10.71, 17.6: 0.13}	{11.6: 14.77, 12.6: 3.84, 12.8: 0.6, 13.6: 760.73, 13.8: 0.0, 14.6: 1941.94, 15.6: 44.12, 17.6: 0.01}	{11.6: 4664.5, 12.6: 154.0, 12.8: 1.2, 13.6: 4364.16, 13.8: 0.0, 14.6: 12870.17, 15.6: 29.95, 17.6: 0.02}	{11.6: 6292.92, 12.6: 226.34, 12.8: 5.72, 13.6: 4863.81, 13.8: 0.0, 14.6: 17740.63, 15.6: 56.54, 17.6: 0.06}
aspartate_aminotransferase	17	44084292	44084364	17_43239737_44990603	AAAAT	{11.6: 150918.26, 12.6: 4752.65, 12.8: 70.71, 13.6: 122613.69, 13.8: 0.0, 14.6: 380028.99, 15.6: 998.45, 17.6: 1.63}	1.03e-14	+	not	0.0	0.0										0.856, 0.838, 0.125, 0.542, 0.0194	NA, NA, NA, NA, +	{11.6: 297.03, 12.6: 764.89, 12.8: 235.68, 13.6: 2449.9, 13.8: 0.0, 14.6: 9046.23, 15.6: 526.26, 17.6: 77.04}	{11.6: 1106.46, 12.6: 81.73, 12.8: 1.34, 13.6: 2037.36, 13.8: 0.0, 14.6: 10162.31, 15.6: 10.71, 17.6: 0.13}	{11.6: 13.77, 12.6: 4.0, 12.8: 0.6, 13.6: 753.75, 13.8: 0.0, 14.6: 1922.23, 15.6: 43.65, 17.6: 0.01}	{11.6: 4651.07, 12.6: 155.31, 12.8: 1.25, 13.6: 4342.77, 13.8: 0.0, 14.6: 12831.52, 15.6: 30.06, 17.6: 0.02}	{11.6: 6264.53, 12.6: 227.49, 12.8: 5.72, 13.6: 4845.75, 13.8: 0.0, 14.6: 17661.97, 15.6: 56.5, 17.6: 0.06}
eosinophil_count	17	44084292	44084364	17_43073823_44991961	AAAAT	{11.6: 153290.5, 12.6: 4808.6, 12.8: 71.15, 13.6: 124783.87, 13.8: 0.0, 14.6: 386192.38, 15.6: 1014.45, 17.6: 1.46}	1.42e-23	+	not	0.0	0.0										0.345, 0.185, 0.751, 0.023, 0.0231	NA, NA, NA, +, +	{11.6: 292.39, 12.6: 762.45, 12.8: 237.63, 13.6: 2500.56, 13.8: 0.0, 14.6: 9135.58, 15.6: 530.93, 17.6: 77.43}	{11.6: 1121.82, 12.6: 83.33, 12.8: 1.35, 13.6: 2050.03, 13.8: 0.0, 14.6: 10274.89, 15.6: 10.49, 17.6: 0.13}	{11.6: 13.83, 12.6: 4.01, 12.8: 0.62, 13.6: 783.35, 13.8: 0.0, 14.6: 1974.46, 15.6: 43.73, 17.6: 0.01}	{11.6: 4705.1, 12.6: 162.99, 12.8: 1.42, 13.6: 4403.71, 13.8: 0.0, 14.6: 13091.23, 15.6: 31.53, 17.6: 0.02}	{11.6: 6402.66, 12.6: 236.04, 12.8: 6.63, 13.6: 4931.92, 13.8: 0.0, 14.6: 18006.17, 15.6: 58.54, 17.6: 0.06}
eosinophil_percent	17	44084292	44084364	17_43073998_45992925	AAAAT	{11.6: 153196.84, 12.6: 4820.68, 12.8: 72.82, 13.6: 124620.9, 13.8: 0.0, 14.6: 386446.22, 15.6: 1009.56, 17.6: 1.42}	4.6e-35	+	not	0.0	0.0										0.0883, 0.0553, 0.895, 0.00271, 0.00168	NA, NA, NA, +, +	{11.6: 295.22, 12.6: 772.82, 12.8: 240.42, 13.6: 2483.81, 13.8: 0.0, 14.6: 9142.4, 15.6: 525.58, 17.6: 76.74}	{11.6: 1123.98, 12.6: 82.78, 12.8: 1.34, 13.6: 2052.47, 13.8: 0.0, 14.6: 10270.96, 15.6: 10.38, 17.6: 0.13}	{11.6: 13.83, 12.6: 4.01, 12.8: 0.62, 13.6: 789.75, 13.8: 0.0, 14.6: 1968.02, 15.6: 43.77, 17.6: 0.01}	{11.6: 4707.27, 12.6: 162.57, 12.8: 1.4, 13.6: 4423.4, 13.8: 0.0, 14.6: 13071.7, 15.6: 31.64, 17.6: 0.02}	{11.6: 6406.16, 12.6: 236.54, 12.8: 6.63, 13.6: 4932.75, 13.8: 0.0, 14.6: 18002.56, 15.6: 57.32, 17.6: 0.06}
haematocrit	17	44084292	44084364	17_42682790_45435296	AAAAT	{11.6: 153625.53, 12.6: 4849.96, 12.8: 71.67, 13.6: 124743.86, 13.8: 0.0, 14.6: 386872.24, 15.6: 1005.74, 17.6: 1.41}	1.78e-45	-	not	0.0	0.0										0.96, 0.473, 0.695, 0.0000409, 0.0516	NA, NA, NA, -, NA	{11.6: 292.49, 12.6: 767.81, 12.8: 240.12, 13.6: 2496.73, 13.8: 0.0, 14.6: 9171.0, 15.6: 530.56, 17.6: 76.3}	{11.6: 1128.82, 12.6: 82.48, 12.8: 1.35, 13.6: 2062.16, 13.8: 0.0, 14.6: 10290.62, 15.6: 10.48, 17.6: 0.13}	{11.6: 13.82, 12.6: 4.01, 12.8: 0.62, 13.6: 781.79, 13.8: 0.0, 14.6: 1975.25, 15.6: 44.51, 17.6: 0.01}	{11.6: 4704.62, 12.6: 159.6, 12.8: 1.33, 13.6: 4430.12, 13.8: 0.0, 14.6: 13119.71, 15.6: 30.6, 17.6: 0.02}	{11.6: 6409.07, 12.6: 235.6, 12.8: 6.63, 13.6: 4943.76, 13.8: 0.0, 14.6: 18041.38, 15.6: 57.52, 17.6: 0.06}
haemoglobin_concentration	17	44084292	44084364	17_42068897_45308152	AAAAT	{11.6: 153680.06, 12.6: 4823.52, 12.8: 72.51, 13.6: 124612.44, 13.8: 0.0, 14.6: 386966.91, 15.6: 1013.5, 17.6: 1.47}	1.02e-44	-	not	0.0	0.0										0.835, 0.246, 0.839, 0.0000124, 0.0335	NA, NA, NA, -, -	{11.6: 292.87, 12.6: 775.15, 12.8: 240.41, 13.6: 2492.8, 13.8: 0.0, 14.6: 9157.71, 15.6: 535.88, 17.6: 80.23}	{11.6: 1131.65, 12.6: 82.51, 12.8: 1.36, 13.6: 2065.78, 13.8: 0.0, 14.6: 10284.08, 15.6: 10.53, 17.6: 0.13}	{11.6: 14.83, 12.6: 3.85, 12.8: 0.62, 13.6: 788.25, 13.8: 0.0, 14.6: 1968.5, 15.6: 43.95, 17.6: 0.01}	{11.6: 4715.11, 12.6: 161.59, 12.8: 1.42, 13.6: 4414.41, 13.8: 0.0, 14.6: 13121.86, 15.6: 31.59, 17.6: 0.02}	{11.6: 6414.93, 12.6: 232.86, 12.8: 6.63, 13.6: 4940.37, 13.8: 0.0, 14.6: 18040.72, 15.6: 58.45, 17.6: 0.06}
