phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	other_ethnicity_association_p_values	other_ethnic_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies	susie_pip_ratio_4	finemap_pip_ratio_4	finemap_pip_prior_std_0.005
platelet_count	11	119077000	119077033	11_118447267_119339135	CCG	{5.33: 0.18%, 7.33: 0.33%, 8.33: 0.09%, 10.33: 0.04%, 11.33: 71.53%, 12.33: 9.10%, 13.33: 6.76%, 14.33: 6.98%, 15.33: 0.25%, 16.33: 0.11%, 17.33: 3.04%, 18.33: 0.31%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.02%, 22.33: 0.04%, 23.33: 0.21%, 24.33: 0.24%, 25.33: 0.36%, 26.33: 0.01%, 30.33: 0.35%}	3.77e-83	+	five_prime_UTR:CBL:protein_coding	0.799, 0.0786, 0.00538, 5.68e-8, 0.0000125	NaN, NaN, +, +, +	{5.33: 0.02%, 7.33: 0.02%, 8.33: 15.23%, 10.33: 5.22%, 11.33: 62.19%, 12.33: 11.20%, 13.33: 4.55%, 14.33: 0.97%, 15.33: 0.07%, 16.33: 0.01%, 17.33: 0.22%, 18.33: 0.07%, 19.33: 0.01%, 21.33: 0.07%, 22.33: 0.00%, 23.33: 0.03%, 24.33: 0.06%, 25.33: 0.03%, 26.33: 0.01%, 30.33: 0.02%}	{5.33: 0.06%, 7.33: 0.06%, 8.33: 0.04%, 10.33: 0.05%, 11.33: 60.05%, 12.33: 6.61%, 13.33: 2.11%, 14.33: 23.50%, 15.33: 1.34%, 16.33: 0.03%, 17.33: 1.31%, 18.33: 0.99%, 19.33: 0.08%, 20.33: 0.00%, 21.33: 1.95%, 22.33: 0.04%, 23.33: 0.03%, 24.33: 1.54%, 25.33: 0.16%, 26.33: 0.01%, 30.33: 0.05%}	{5.33: 0.02%, 7.33: 0.00%, 8.33: 0.07%, 10.33: 0.06%, 11.33: 74.57%, 12.33: 2.56%, 13.33: 2.12%, 14.33: 6.32%, 15.33: 11.33%, 16.33: 0.00%, 17.33: 0.20%, 18.33: 1.83%, 19.33: 0.01%, 21.33: 0.08%, 22.33: 0.02%, 23.33: 0.00%, 24.33: 0.74%, 25.33: 0.02%, 26.33: 0.01%, 30.33: 0.03%}	{5.33: 0.11%, 7.33: 1.00%, 8.33: 0.06%, 10.33: 0.04%, 11.33: 69.00%, 12.33: 8.76%, 13.33: 7.66%, 14.33: 7.20%, 15.33: 0.23%, 16.33: 0.11%, 17.33: 3.95%, 18.33: 0.28%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.01%, 22.33: 0.04%, 23.33: 0.25%, 24.33: 0.29%, 25.33: 0.42%, 26.33: 0.00%, 30.33: 0.54%}	{5.33: 0.19%, 7.33: 0.25%, 8.33: 0.29%, 10.33: 0.07%, 11.33: 72.34%, 12.33: 9.77%, 13.33: 5.72%, 14.33: 6.34%, 15.33: 0.43%, 16.33: 0.11%, 17.33: 2.66%, 18.33: 0.43%, 19.33: 0.05%, 20.33: 0.01%, 21.33: 0.05%, 22.33: 0.12%, 23.33: 0.18%, 24.33: 0.29%, 25.33: 0.33%, 26.33: 0.02%, 30.33: 0.35%}	1.00	1.00	1.00
platelet_count	12	48204588	48204649	12_47990997_48857534	AG	{14.0: 2.93%, 15.0: 13.93%, 22.0: 0.02%, 25.0: 0.22%, 26.0: 22.94%, 27.0: 0.23%, 28.0: 0.65%, 29.0: 9.89%, 30.0: 10.34%, 30.5: 0.01%, 31.0: 6.15%, 32.0: 20.50%, 33.0: 8.20%, 34.0: 1.80%, 35.0: 1.01%, 36.0: 0.27%, 37.0: 0.20%, 38.0: 0.73%}	5.95e-18	-	intron:HDAC7:protein_coding	0.491, 0.193, 0.64, 0.103, 0.291	NaN, NaN, NaN, NaN, NaN	{14.0: 14.88%, 15.0: 9.49%, 22.0: 1.84%, 25.0: 9.51%, 26.0: 3.94%, 27.0: 0.90%, 28.0: 3.48%, 29.0: 4.05%, 30.0: 6.36%, 30.5: 0.01%, 31.0: 5.78%, 32.0: 24.05%, 33.0: 12.53%, 34.0: 2.49%, 35.0: 0.42%, 36.0: 0.02%, 37.0: 0.10%, 38.0: 0.14%}	{14.0: 5.30%, 15.0: 14.70%, 22.0: 0.03%, 25.0: 0.50%, 26.0: 13.71%, 27.0: 0.11%, 28.0: 2.25%, 29.0: 9.26%, 30.0: 10.93%, 30.5: 0.04%, 31.0: 3.09%, 32.0: 19.96%, 33.0: 12.96%, 34.0: 1.36%, 35.0: 4.56%, 36.0: 0.15%, 37.0: 0.29%, 38.0: 0.79%}	{14.0: 2.80%, 15.0: 6.19%, 22.0: 0.01%, 25.0: 7.80%, 26.0: 1.90%, 27.0: 0.15%, 28.0: 0.64%, 29.0: 27.26%, 30.0: 26.83%, 30.5: 0.24%, 31.0: 3.36%, 32.0: 10.22%, 33.0: 8.53%, 34.0: 0.25%, 35.0: 2.91%, 36.0: 0.00%, 37.0: 0.01%, 38.0: 0.90%}	{14.0: 2.76%, 15.0: 12.48%, 22.0: 0.02%, 25.0: 0.32%, 26.0: 25.90%, 27.0: 0.28%, 28.0: 0.62%, 29.0: 8.66%, 30.0: 9.97%, 30.5: 0.01%, 31.0: 6.38%, 32.0: 20.38%, 33.0: 8.34%, 34.0: 1.76%, 35.0: 0.69%, 36.0: 0.19%, 37.0: 0.18%, 38.0: 1.06%}	{14.0: 4.01%, 15.0: 15.49%, 22.0: 0.01%, 25.0: 0.28%, 26.0: 20.80%, 27.0: 0.20%, 28.0: 0.53%, 29.0: 9.74%, 30.0: 9.63%, 30.5: 0.02%, 31.0: 6.36%, 32.0: 19.65%, 33.0: 8.68%, 34.0: 1.91%, 35.0: 1.30%, 36.0: 0.24%, 37.0: 0.34%, 38.0: 0.80%}	0.98	1.00	1.00
platelet_count	17	7726666	7726693	17_7142585_7918367	AG	{10.0: 0.04%, 11.0: 0.24%, 12.0: 0.00%, 13.0: 0.01%, 14.0: 3.62%, 15.0: 41.27%, 16.0: 54.53%, 17.0: 0.28%}	7.30e-13	-	intron:DNAH2:protein_coding	0.537, 0.0266, 0.207, 0.17, 0.0127	NaN, -, NaN, NaN, -	{10.0: 2.10%, 11.0: 0.02%, 12.0: 0.03%, 13.0: 0.01%, 14.0: 45.01%, 15.0: 31.86%, 16.0: 19.51%, 17.0: 1.46%}	{10.0: 0.02%, 11.0: 0.05%, 12.0: 0.00%, 13.0: 0.24%, 14.0: 24.68%, 15.0: 36.85%, 16.0: 38.07%, 17.0: 0.09%}	{10.0: 0.01%, 11.0: 0.00%, 12.0: 0.00%, 13.0: 1.46%, 14.0: 19.94%, 15.0: 41.58%, 16.0: 36.98%, 17.0: 0.02%}	{10.0: 0.03%, 11.0: 0.20%, 13.0: 0.02%, 14.0: 3.14%, 15.0: 41.66%, 16.0: 54.69%, 17.0: 0.26%}	{10.0: 0.15%, 11.0: 0.23%, 13.0: 0.03%, 14.0: 6.07%, 15.0: 38.32%, 16.0: 54.83%, 17.0: 0.38%}	0.00	0.93	1.00
platelet_crit	1	3086622	3086642	1_2773960_3224194	A	{20.0: 39.67%, 21.0: 54.39%, 24.0: 5.93%}	4.24e-12	-	intron:PRDM16:protein_coding	0.315, 0.772, 0.239, 0.0854, 0.135	NaN, NaN, NaN, NaN, NaN	{20.0: 72.79%, 21.0: 19.77%, 24.0: 7.44%}	{20.0: 58.31%, 21.0: 36.30%, 24.0: 5.39%}	{20.0: 66.13%, 21.0: 29.51%, 24.0: 4.37%}	{20.0: 37.72%, 21.0: 54.51%, 24.0: 7.76%}	{20.0: 43.19%, 21.0: 51.31%, 24.0: 5.50%}	0.97	1.00	1.00
platelet_crit	1	204527033	204527059	1_204137031_204720899	AAT	{7.0: 3.16%, 8.0: 49.81%, 9.0: 34.15%, 10.0: 12.80%, 11.0: 0.08%}	5.76e-17	-	three_prime_UTR:MDM4:protein_coding	0.0847, 0.318, 0.295, 0.838, 0.00415	NaN, NaN, NaN, NaN, -	{7.0: 7.32%, 8.0: 55.66%, 9.0: 35.94%, 10.0: 1.07%, 11.0: 0.01%}	{7.0: 5.08%, 8.0: 46.97%, 9.0: 43.25%, 10.0: 4.69%, 11.0: 0.01%}	{7.0: 0.48%, 8.0: 56.98%, 9.0: 42.00%, 10.0: 0.53%, 11.0: 0.00%}	{7.0: 2.72%, 8.0: 48.91%, 9.0: 35.88%, 10.0: 12.44%, 11.0: 0.05%}	{7.0: 3.47%, 8.0: 49.66%, 9.0: 34.82%, 10.0: 11.97%, 11.0: 0.07%}	0.98	1.00	1.00
platelet_crit	1	225914361	225914377	1_225776006_226087690	A	{15.0: 0.19%, 16.0: 10.79%, 17.0: 60.08%, 18.0: 28.94%, 19.0: 0.00%}	3.52e-14	+	multigene;intron:RP11-145A3.1:lncRNA;intron:RP11-145A3.2:lncRNA	0.518, 0.0524, 0.585, 0.656, 0.0105	NaN, NaN, NaN, NaN, +	{15.0: 0.02%, 16.0: 0.95%, 17.0: 34.89%, 18.0: 63.87%, 19.0: 0.27%}	{15.0: 0.05%, 16.0: 13.57%, 17.0: 57.43%, 18.0: 28.94%, 19.0: 0.01%}	{15.0: 0.00%, 16.0: 14.67%, 17.0: 43.76%, 18.0: 41.57%, 19.0: 0.00%}	{15.0: 0.13%, 16.0: 10.38%, 17.0: 58.15%, 18.0: 31.34%, 19.0: 0.00%}	{15.0: 0.15%, 16.0: 11.13%, 17.0: 58.66%, 18.0: 30.05%, 19.0: 0.01%}	0.00	0.76	0.94
platelet_crit	2	24093156	24093174	2_23750431_24789837	A	{19.0: 25.02%, 20.0: 48.92%, 21.0: 10.96%, 22.0: 0.05%, 25.0: 1.55%, 26.0: 13.47%, 27.0: 0.03%}	1.60e-29	-	intron:ATAD2B:protein_coding	0.112, 0.849, 0.835, 0.0943, 0.00202	NaN, NaN, NaN, NaN, -	{19.0: 38.45%, 20.0: 50.64%, 21.0: 1.87%, 22.0: 0.01%, 25.0: 0.67%, 26.0: 8.02%, 27.0: 0.35%}	{19.0: 17.51%, 20.0: 56.97%, 21.0: 10.72%, 22.0: 0.01%, 25.0: 0.52%, 26.0: 14.26%, 27.0: 0.01%}	{19.0: 15.93%, 20.0: 76.90%, 21.0: 0.62%, 25.0: 0.55%, 26.0: 5.99%, 27.0: 0.00%}	{19.0: 24.88%, 20.0: 49.72%, 21.0: 9.90%, 22.0: 0.05%, 25.0: 1.16%, 26.0: 14.26%, 27.0: 0.03%}	{19.0: 23.35%, 20.0: 50.96%, 21.0: 10.98%, 22.0: 0.06%, 25.0: 1.44%, 26.0: 13.17%, 27.0: 0.03%}	0.03	1.00	1.00
platelet_crit	2	111874390	111874405	2_111683078_112437517	A	{15.0: 6.26%, 16.0: 80.16%, 17.0: 13.57%}	3.95e-16	-	multigene;intron:ACOXL:protein_coding;intron:MIR4435-2HG:lncRNA	0.213, 0.554, 0.0054, 0.918, 0.023	NaN, NaN, -, NaN, -	{15.0: 16.21%, 16.0: 57.85%, 17.0: 25.94%}	{15.0: 5.85%, 16.0: 86.09%, 17.0: 8.06%}	{15.0: 11.76%, 16.0: 61.35%, 17.0: 26.89%}	{15.0: 5.48%, 16.0: 79.75%, 17.0: 14.77%}	{15.0: 6.25%, 16.0: 82.89%, 17.0: 10.86%}	0.99	1.00	1.00
platelet_crit	4	7040818	7040845	4_6784777_7221008	A	{25.0: 3.59%, 26.0: 54.09%, 27.0: 11.39%, 28.0: 30.42%, 29.0: 0.50%}	1.17e-28	-	intron:RP11-367J11.2:lncRNA	0.0218, 0.00241, 0.363, 0.153, 0.000572	-, -, NaN, NaN, -	{25.0: 0.56%, 26.0: 34.92%, 27.0: 2.78%, 28.0: 61.67%, 29.0: 0.07%}	{25.0: 0.77%, 26.0: 51.72%, 27.0: 14.98%, 28.0: 32.18%, 29.0: 0.35%}	{25.0: 0.35%, 26.0: 62.42%, 27.0: 2.94%, 28.0: 33.37%, 29.0: 0.92%}	{25.0: 3.46%, 26.0: 53.74%, 27.0: 11.31%, 28.0: 30.47%, 29.0: 1.01%}	{25.0: 3.78%, 26.0: 51.29%, 27.0: 12.55%, 28.0: 31.90%, 29.0: 0.47%}	0.25	0.86	0.80
platelet_crit	11	119077000	119077033	11_118447267_119339135	CCG	{5.33: 0.18%, 7.33: 0.33%, 8.33: 0.09%, 10.33: 0.04%, 11.33: 71.50%, 12.33: 9.10%, 13.33: 6.77%, 14.33: 6.99%, 15.33: 0.25%, 16.33: 0.11%, 17.33: 3.04%, 18.33: 0.31%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.02%, 22.33: 0.04%, 23.33: 0.21%, 24.33: 0.24%, 25.33: 0.36%, 26.33: 0.01%, 30.33: 0.35%}	6.07e-103	+	five_prime_UTR:CBL:protein_coding	0.68, 0.013, 0.000358, 7.58e-9, 8.38e-6	NaN, +, +, +, +	{5.33: 0.02%, 7.33: 0.03%, 8.33: 15.27%, 10.33: 5.18%, 11.33: 62.24%, 12.33: 11.18%, 13.33: 4.51%, 14.33: 0.97%, 15.33: 0.07%, 16.33: 0.01%, 17.33: 0.23%, 18.33: 0.07%, 19.33: 0.01%, 21.33: 0.07%, 22.33: 0.00%, 23.33: 0.03%, 24.33: 0.06%, 25.33: 0.04%, 26.33: 0.01%, 30.33: 0.02%}	{5.33: 0.06%, 7.33: 0.06%, 8.33: 0.04%, 10.33: 0.06%, 11.33: 60.12%, 12.33: 6.63%, 13.33: 2.09%, 14.33: 23.40%, 15.33: 1.36%, 16.33: 0.03%, 17.33: 1.30%, 18.33: 1.01%, 19.33: 0.08%, 20.33: 0.00%, 21.33: 1.94%, 22.33: 0.04%, 23.33: 0.03%, 24.33: 1.55%, 25.33: 0.16%, 26.33: 0.01%, 30.33: 0.04%}	{5.33: 0.02%, 7.33: 0.00%, 8.33: 0.07%, 10.33: 0.06%, 11.33: 74.49%, 12.33: 2.58%, 13.33: 2.11%, 14.33: 6.34%, 15.33: 11.40%, 16.33: 0.00%, 17.33: 0.20%, 18.33: 1.83%, 19.33: 0.01%, 21.33: 0.08%, 22.33: 0.02%, 23.33: 0.00%, 24.33: 0.72%, 25.33: 0.02%, 26.33: 0.01%, 30.33: 0.03%}	{5.33: 0.11%, 7.33: 1.01%, 8.33: 0.06%, 10.33: 0.04%, 11.33: 69.00%, 12.33: 8.77%, 13.33: 7.65%, 14.33: 7.19%, 15.33: 0.23%, 16.33: 0.11%, 17.33: 3.95%, 18.33: 0.28%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.01%, 22.33: 0.03%, 23.33: 0.24%, 24.33: 0.29%, 25.33: 0.42%, 26.33: 0.00%, 30.33: 0.56%}	{5.33: 0.19%, 7.33: 0.25%, 8.33: 0.29%, 10.33: 0.07%, 11.33: 72.32%, 12.33: 9.78%, 13.33: 5.72%, 14.33: 6.34%, 15.33: 0.43%, 16.33: 0.12%, 17.33: 2.67%, 18.33: 0.43%, 19.33: 0.05%, 20.33: 0.01%, 21.33: 0.05%, 22.33: 0.12%, 23.33: 0.18%, 24.33: 0.29%, 25.33: 0.34%, 26.33: 0.02%, 30.33: 0.35%}	1.00	1.00	1.00
platelet_crit	15	42254741	42254753	15_42099183_45163700	A	{12.0: 20.98%, 13.0: 67.38%, 14.0: 0.32%, 15.0: 11.00%, 16.0: 0.32%}	2.41e-17	-	intron:EHD4:protein_coding	0.0668, 0.309, 0.0638, 0.161, 0.045	NaN, NaN, NaN, NaN, -	{12.0: 4.23%, 13.0: 49.92%, 14.0: 16.45%, 15.0: 29.38%, 16.0: 0.02%}	{12.0: 21.32%, 13.0: 52.14%, 14.0: 0.38%, 15.0: 26.07%, 16.0: 0.09%}	{12.0: 18.10%, 13.0: 72.21%, 14.0: 0.32%, 15.0: 9.37%, 16.0: 0.01%}	{12.0: 22.04%, 13.0: 65.98%, 14.0: 0.35%, 15.0: 11.43%, 16.0: 0.19%}	{12.0: 20.66%, 13.0: 66.94%, 14.0: 0.45%, 15.0: 11.70%, 16.0: 0.25%}	0.99	1.00	1.00
platelet_crit	16	88551849	88551864	16_88382269_88919403	A	{15.0: 0.01%, 16.0: 68.11%, 17.0: 31.88%}	3.69e-30	-	intron:ZFPM1:protein_coding	0.0159, 0.058, 0.36, 0.958, 0.0891	-, NaN, NaN, NaN, NaN	{15.0: 0.00%, 16.0: 64.42%, 17.0: 35.57%}	{15.0: 0.01%, 16.0: 56.27%, 17.0: 43.72%}	{15.0: 0.01%, 16.0: 51.74%, 17.0: 48.26%}	{15.0: 0.00%, 16.0: 67.08%, 17.0: 32.91%}	{15.0: 0.02%, 16.0: 67.56%, 17.0: 32.43%}	0.62	0.95	1.00
platelet_crit	17	2496885	2496912	17_1800276_2711229	CCG	{5.33: 0.00%, 7.33: 0.08%, 9.33: 80.57%, 10.33: 0.80%, 11.33: 13.35%, 12.33: 1.44%, 13.33: 1.17%, 14.33: 1.05%, 15.33: 1.15%, 16.33: 0.36%, 19.33: 0.03%, 22.33: 0.00%}	1.83e-12	+	intron:PAFAH1B1:protein_coding	0.135, 0.964, 0.823, 0.751, 0.185	NaN, NaN, NaN, NaN, NaN	{5.33: 0.00%, 7.33: 0.01%, 9.33: 84.84%, 10.33: 0.23%, 11.33: 9.76%, 12.33: 1.37%, 13.33: 3.48%, 14.33: 0.10%, 15.33: 0.19%, 16.33: 0.02%, 19.33: 0.00%, 22.33: 0.00%}	{5.33: 0.03%, 7.33: 0.03%, 9.33: 62.90%, 10.33: 1.42%, 11.33: 26.70%, 12.33: 4.87%, 13.33: 1.71%, 14.33: 0.81%, 15.33: 1.27%, 16.33: 0.21%, 19.33: 0.03%, 22.33: 0.02%}	{5.33: 0.21%, 7.33: 0.01%, 9.33: 81.64%, 10.33: 0.49%, 11.33: 13.56%, 12.33: 2.90%, 13.33: 0.91%, 14.33: 0.12%, 15.33: 0.11%, 16.33: 0.06%}	{5.33: 0.00%, 7.33: 0.07%, 9.33: 80.62%, 10.33: 1.01%, 11.33: 13.61%, 12.33: 1.26%, 13.33: 1.15%, 14.33: 1.00%, 15.33: 1.01%, 16.33: 0.26%, 19.33: 0.02%, 22.33: 0.00%}	{5.33: 0.03%, 7.33: 0.07%, 9.33: 81.78%, 10.33: 0.70%, 11.33: 12.52%, 12.33: 1.32%, 13.33: 1.11%, 14.33: 0.99%, 15.33: 1.20%, 16.33: 0.24%, 19.33: 0.04%, 22.33: 0.01%}	1.00	1.00	1.00
platelet_crit	17	10180929	10180954	17_10054309_10308862	A	{15.0: 0.00%, 22.0: 24.89%, 23.0: 0.02%, 25.0: 15.32%, 26.0: 35.20%, 27.0: 18.71%, 28.0: 4.95%, 29.0: 0.90%}	5.19e-13	+	intergenic	0.922, 0.844, 0.793, 0.15, 0.0647	NaN, NaN, NaN, NaN, NaN	{15.0: 0.00%, 22.0: 35.26%, 23.0: 0.74%, 25.0: 2.29%, 26.0: 15.30%, 27.0: 36.36%, 28.0: 9.90%, 29.0: 0.16%}	{15.0: 0.01%, 22.0: 19.45%, 23.0: 0.02%, 25.0: 11.14%, 26.0: 39.27%, 27.0: 25.23%, 28.0: 3.65%, 29.0: 1.21%}	{15.0: 0.01%, 22.0: 23.77%, 23.0: 0.01%, 25.0: 4.88%, 26.0: 49.83%, 27.0: 19.93%, 28.0: 1.26%, 29.0: 0.32%}	{15.0: 0.00%, 22.0: 25.01%, 23.0: 0.02%, 25.0: 15.74%, 26.0: 35.18%, 27.0: 18.45%, 28.0: 4.81%, 29.0: 0.80%}	{15.0: 0.01%, 22.0: 26.15%, 23.0: 0.02%, 25.0: 14.67%, 26.0: 34.87%, 27.0: 17.96%, 28.0: 5.15%, 29.0: 1.17%}	0.20	0.78	1.00
platelet_crit	20	1930085	1930097	20_1041957_2474265	A	{12.0: 32.90%, 13.0: 67.10%}	1.17e-144	+	intron:PDYN-AS1:lncRNA	0.474, 0.00921, 0.6, 0.000033, 1.39e-7	NaN, +, NaN, +, +	{12.0: 73.64%, 13.0: 26.36%}	{12.0: 55.45%, 13.0: 44.55%}	{12.0: 81.31%, 13.0: 18.69%}	{12.0: 31.09%, 13.0: 68.91%}	{12.0: 35.91%, 13.0: 64.09%}	0.84	0.85	1.00
platelet_distribution_width	1	115179704	115179722	1_114750819_115882563	AAAAC	{3.0: 0.74%, 3.2: 3.32%, 3.8: 14.11%, 4.0: 81.83%, 4.4: 0.01%}	8.28e-35	+	intron:DENND2C:protein_coding	0.493, 0.911, 0.773, 0.0245, 0.112	NaN, NaN, NaN, +, NaN	{3.0: 0.06%, 3.2: 0.22%, 3.8: 2.84%, 4.0: 92.80%, 4.4: 4.08%}	{3.0: 0.23%, 3.2: 1.64%, 3.8: 9.49%, 4.0: 88.63%, 4.4: 0.01%}	{3.2: 0.11%, 3.8: 46.08%, 4.0: 53.82%, 4.4: 0.00%}	{3.0: 0.56%, 3.2: 3.85%, 3.8: 14.61%, 4.0: 80.97%, 4.4: 0.00%}	{3.0: 0.67%, 3.2: 3.28%, 3.8: 14.23%, 4.0: 81.80%, 4.4: 0.03%}	1.00	1.00	0.93
platelet_distribution_width	1	231037166	231037176	1_230912165_231162166	A	{9.0: 0.10%, 10.0: 60.39%, 11.0: 39.45%, 12.0: 0.06%}	2.84e-11	-	intergenic	0.751, 0.47, 0.14, 0.262, 0.656	NaN, NaN, NaN, NaN, NaN	{9.0: 0.02%, 10.0: 50.50%, 11.0: 49.47%, 12.0: 0.01%}	{9.0: 0.10%, 10.0: 56.50%, 11.0: 43.40%, 12.0: 0.01%}	{9.0: 0.01%, 10.0: 55.98%, 11.0: 43.98%, 12.0: 0.03%}	{9.0: 0.06%, 10.0: 59.46%, 11.0: 40.37%, 12.0: 0.12%}	{9.0: 0.17%, 10.0: 57.47%, 11.0: 42.32%, 12.0: 0.04%}	0.99	1.00	1.00
platelet_distribution_width	1	243430545	243430558	1_243139751_243626583	A	{13.0: 11.86%, 14.0: 55.88%, 15.0: 32.13%, 16.0: 0.12%}	4.46e-16	+	intron:SDCCAG8:protein_coding	0.00157, 0.974, 0.956, 0.461, 0.24	+, NaN, NaN, NaN, NaN	{13.0: 1.36%, 14.0: 73.65%, 15.0: 24.94%, 16.0: 0.05%}	{13.0: 9.39%, 14.0: 39.23%, 15.0: 51.28%, 16.0: 0.10%}	{13.0: 6.03%, 14.0: 72.41%, 15.0: 21.55%, 16.0: 0.01%}	{13.0: 10.63%, 14.0: 59.88%, 15.0: 29.36%, 16.0: 0.13%}	{13.0: 12.05%, 14.0: 54.82%, 15.0: 32.95%, 16.0: 0.19%}	0.00	0.71	0.83
platelet_distribution_width	6	41787920	41787933	6_41596682_42135597	A	{12.0: 1.80%, 13.0: 73.95%, 14.0: 24.24%}	1.31e-19	-	multigene;intron:USP49:protein_coding;intron:RP5-973N23.5:protein_coding	0.219, 0.52, 0.669, 0.00622, 0.429	NaN, NaN, NaN, -, NaN	{12.0: 0.18%, 13.0: 68.40%, 14.0: 31.42%}	{12.0: 5.53%, 13.0: 72.77%, 14.0: 21.70%}	{12.0: 0.11%, 13.0: 82.01%, 14.0: 17.88%}	{12.0: 1.75%, 13.0: 75.20%, 14.0: 23.05%}	{12.0: 1.81%, 13.0: 74.05%, 14.0: 24.15%}	0.96	1.00	1.00
platelet_distribution_width	17	33871548	33871564	17_33104005_34589040	A	{16.0: 2.21%, 17.0: 68.57%, 18.0: 18.87%, 19.0: 4.90%, 20.0: 1.62%, 21.0: 3.84%, 22.0: 0.00%}	1.18e-249	-	three_prime_UTR:SLFN14:protein_coding	0.131, 1.57e-8, 0.763, 5.44e-9, 7.19e-11	NaN, -, NaN, -, -	{16.0: 1.70%, 17.0: 41.24%, 18.0: 25.62%, 19.0: 22.56%, 20.0: 3.91%, 21.0: 4.67%, 22.0: 0.30%}	{16.0: 4.99%, 17.0: 56.44%, 18.0: 26.67%, 19.0: 4.23%, 20.0: 0.39%, 21.0: 7.28%, 22.0: 0.00%}	{16.0: 20.91%, 17.0: 60.76%, 18.0: 15.89%, 19.0: 1.18%, 20.0: 0.05%, 21.0: 1.22%}	{16.0: 2.09%, 17.0: 71.37%, 18.0: 16.60%, 19.0: 4.27%, 20.0: 1.64%, 21.0: 4.02%, 22.0: 0.00%}	{16.0: 2.21%, 17.0: 65.63%, 18.0: 20.66%, 19.0: 5.89%, 20.0: 1.82%, 21.0: 3.79%, 22.0: 0.01%}	1.00	1.00	1.00
red_blood_cell_count	2	8761094	8761150	2_8615722_8891192	AC	{23.5: 0.66%, 25.5: 0.46%, 26.5: 37.77%, 27.5: 1.37%, 28.5: 20.07%, 29.5: 35.44%, 30.5: 4.05%, 31.5: 0.18%}	6.09e-19	-	intron:AC011747.6:lncRNA	0.00952, 0.147, 0.899, 0.341, 0.116	-, NaN, NaN, NaN, NaN	{23.5: 0.07%, 25.5: 0.08%, 26.5: 47.17%, 27.5: 12.29%, 28.5: 22.44%, 29.5: 17.40%, 30.5: 0.53%, 31.5: 0.02%}	{23.5: 0.08%, 25.5: 0.18%, 26.5: 39.74%, 27.5: 1.80%, 28.5: 18.72%, 29.5: 36.39%, 30.5: 2.60%, 31.5: 0.50%}	{25.5: 0.02%, 26.5: 56.82%, 27.5: 1.94%, 28.5: 17.89%, 29.5: 21.84%, 30.5: 1.17%, 31.5: 0.31%}	{23.5: 0.72%, 25.5: 0.34%, 26.5: 38.56%, 27.5: 1.26%, 28.5: 18.98%, 29.5: 35.51%, 30.5: 4.51%, 31.5: 0.11%}	{23.5: 0.46%, 25.5: 0.38%, 26.5: 38.00%, 27.5: 1.39%, 28.5: 20.47%, 29.5: 34.99%, 30.5: 4.13%, 31.5: 0.19%}	0.99	1.00	1.00
red_blood_cell_count	14	64714051	64714074	14_64489770_64922147	AAAC	{5.0: 7.30%, 6.0: 44.76%, 7.0: 47.94%}	3.21e-24	-	intron:ESR2:protein_coding	0.0134, 0.0154, 0.441, 0.12, 0.238	-, -, NaN, NaN, NaN	{5.0: 55.45%, 6.0: 9.32%, 7.0: 35.23%}	{5.0: 14.47%, 6.0: 52.64%, 7.0: 32.90%}	{5.0: 18.91%, 6.0: 30.74%, 7.0: 50.35%}	{5.0: 6.61%, 6.0: 45.49%, 7.0: 47.90%}	{5.0: 9.83%, 6.0: 42.70%, 7.0: 47.47%}	1.00	1.00	1.00
red_blood_cell_count	15	40312923	40312938	15_40158099_40507441	A	{15.0: 20.76%, 16.0: 79.24%}	2.27e-20	+	exon_other:EIF2AK4:protein_coding	0.947, 0.968, 0.171, 0.14, 0.657	NaN, NaN, NaN, NaN, NaN	{15.0: 38.45%, 16.0: 61.55%}	{15.0: 23.42%, 16.0: 76.58%}	{15.0: 40.45%, 16.0: 59.55%}	{15.0: 20.25%, 16.0: 79.75%}	{15.0: 19.46%, 16.0: 80.54%}	0.86	0.91	1.00
red_blood_cell_count	15	76246773	76246788	15_74593699_77969608	A	{14.0: 49.55%, 15.0: 47.80%, 16.0: 0.09%, 17.0: 2.55%}	2.59e-43	+	intron:NRG4:protein_coding	0.00767, 0.592, 0.344, 0.0026, 0.00208	+, NaN, NaN, +, +	{14.0: 30.51%, 15.0: 49.30%, 16.0: 7.02%, 17.0: 13.17%}	{14.0: 66.52%, 15.0: 32.49%, 16.0: 0.40%, 17.0: 0.59%}	{14.0: 61.43%, 15.0: 36.92%, 16.0: 1.54%, 17.0: 0.11%}	{14.0: 50.14%, 15.0: 47.56%, 16.0: 0.06%, 17.0: 2.23%}	{14.0: 50.09%, 15.0: 47.78%, 16.0: 0.16%, 17.0: 1.96%}	1.00	1.00	1.00
